DrugID	TargetID
Antithymocyte immunoglobulin (rabbit)	3688
Antithymocyte immunoglobulin (rabbit)	3690
Antithymocyte immunoglobulin (rabbit)	920
Antithymocyte immunoglobulin (rabbit)	2213
Antithymocyte immunoglobulin (rabbit)	3683
Antithymocyte immunoglobulin (rabbit)	942
Antrafenine	5742
Antrafenine	5743
Antroquinonol	1786
Apadamtase alfa	7450
Apadenoson	135
Apalutamide	2565
Apalutamide	367
Apalutamide	2560
Apalutamide	2558
Apalutamide	2566
Apalutamide	2555
Apalutamide	2557
Apalutamide	2564
Apalutamide	55879
Apalutamide	2561
Apalutamide	2562
Apalutamide	2567
Apalutamide	2563
Apalutamide	2554
Apalutamide	2568
Apalutamide	2556
Apalutamide	2559
Apatorsen	3315
Aphidicolin	2703462
Apigenin	1545
Apigenin	1457
Apigenin	231
Apigenin	3292
Apigenin	1588
Apigenin	367
Apigenin	1021
Apilimod	200576
Apilimod	3592
Apitolisib	5294
Apitolisib	2475
Apixaban	2159
Aplaviroc	1234
Aplindore	1813
Aplyronine A	58
Apomine	9971
Apomorphine	1812
Apomorphine	3358
Apomorphine	150
Apomorphine	3356
Apomorphine	1814
Apomorphine	3357
Apomorphine	1813
Apomorphine	3351
Apomorphine	3350
Apomorphine	3352
Apomorphine	1816
Apomorphine	152
Apomorphine	1815
Apomorphine	151
Apoptone	596
Apraclonidine	150
Apraclonidine	148
Apraclonidine	151
Apratastat	4312
Apratastat	4322
Apratastat	6868
Apremilast	1021
Apremilast	1019
Aprepitant	6869
Apricoxib	5743
Aprindine	6331
Aprindine	808
Aprinocarsen	5578
Aprobarbital	2554
Aprobarbital	2558
Aprobarbital	89832
Aprobarbital	2891
Aprobarbital	2556
Aprobarbital	2555
Aprobarbital	2557
Aprobarbital	1137
Aprobarbital	2898
Aprobarbital	2559
Aprocitentan	1909
Aprocitentan	1910
Aprotinin	3816
Aprotinin	5340
Aprotinin	5644
Aprotinin	1504
Apstatin	947385
Arabinose-5-phosphate	3168636
Arabinouridine 3'-phosphate	6035
Arachidonic Acid	9971
Arachidonic Acid	8344852
Arachidonic Acid	5742
Arachidonic Acid	5465
Arachidonic Acid	6256
Arachidonyltrifluoromethane	5321
Aracytidine 5'-monophosphate	945535
Aranidipine	148
Aranidipine	150
Aranidipine	152
Aranidipine	779
Aranidipine	8912
Aranidipine	776
Aranidipine	151
Aranidipine	147
